transact_date,transact_cbidpx,transact_cvalue,transact_caskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2017-07-31,0.68,0.57,0.69,MSFT,75.32,2017-09-15,0.00000,75.00,39102,37532,14438,9628,0.31,0.35,0.34,0.01,0.03,0.02,0.00000,0.00000,0.00000,2.29912,1.63589,1.81477,1.99366,0.00980,0.00000,0.000000,0.830802,0.748990,-30.770842,0.000374,0.000002,-0.000002,-30.769171,1.083000,1.0748,0.0000,NULL,2017-09-15,0.22,NULL,NULL,6.69
2017-10-04,0.87,0.84,0.90,MSFT,78.70,2017-11-17,0.07671,77.50,3497,24325,5126,3357,2.34,2.49,2.37,1.28,1.46,1.31,0.20496,0.20673,0.20851,0.22286,0.20100,0.20277,0.20455,0.00990,0.00000,-0.034668,0.597387,0.080002,-0.039089,0.084569,0.034133,-0.035873,-0.033657,0.158071,2.4761,0.6570,NULL,2017-10-20,-1.65,2017-10-23,False,5.04
2017-10-20,0.80,0.84,0.85,MSFT,78.91,2017-12-01,0.09863,81.00,1,1589,10,79,0.99,1.04,1.12,3.35,3.35,3.45,0.19165,0.19890,0.20615,0.19694,0.19661,0.20223,0.20785,0.01110,0.00000,-0.018191,0.332991,0.074967,-0.026696,0.088131,0.024826,-0.025778,-0.024676,0.160594,0.9783,2.5027,NULL,2017-10-26,-0.20,2017-10-27,False,4.84
2017-10-31,1.00,1.01,1.02,MSFT,86.67,2017-12-15,0.00000,85.00,14742,25135,5350,11675,1.65,1.67,1.69,0.01,0.00,0.01,0.00000,0.00000,0.00000,1.44940,0.00000,0.00000,0.00000,0.01240,0.00000,0.000000,1.000000,0.000000,-0.002888,0.000000,0.000003,-0.000003,0.000000,3.763850,2.5367,0.0000,NULL,2017-12-15,-0.66,NULL,NULL,4.18
2017-12-07,0.93,0.94,0.95,MSFT,84.78,2018-01-19,0.09863,85.00,3217,50987,3204,14753,1.65,1.56,1.69,1.70,1.57,1.72,0.15461,0.15650,0.15838,0.14635,0.15872,0.15966,0.16061,0.01320,0.00000,-0.015116,0.510251,0.102740,-0.024899,0.106358,0.041125,-0.042666,-0.021665,0.191789,2.5071,1.6606,NULL,2017-12-14,-0.62,2017-12-15,False,3.56
2018-01-03,1.08,1.08,1.10,MSFT,91.61,2018-02-16,0.06849,90.00,4068,39206,451,4690,3.05,3.08,3.10,1.72,1.74,1.74,0.24345,0.24618,0.24891,0.24718,0.24512,0.24621,0.24730,0.01270,0.00000,-0.013582,0.603595,0.065365,-0.049621,0.091537,0.035760,-0.037715,-0.045863,0.179426,2.4653,1.1193,NULL,2018-01-22,-2.00,2018-01-23,False,1.56
2018-01-10,1.01,1.03,1.04,MSFT,91.95,2018-02-23,0.08219,91.50,212,1050,11,48,2.91,2.96,2.94,2.63,2.64,2.67,0.26123,0.26267,0.26410,0.26561,0.26461,0.26652,0.26844,0.01430,0.00000,-0.026381,0.534338,0.057116,-0.051664,0.104635,0.037899,-0.040201,-0.046525,0.205590,2.8533,1.6137,NULL,2018-01-24,-1.93,2018-01-25,False,-0.37
2018-01-30,1.30,1.39,1.32,MSFT,94.59,2018-03-16,0.00000,100.00,166,44059,70,1388,0.00,0.00,0.01,5.35,5.41,6.75,0.00000,0.00000,0.00000,0.65537,0.00000,0.00000,0.00000,0.01710,0.00000,0.004182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.480450,0.0000,4.4641,NULL,2018-03-16,1.39,NULL,NULL,1.02
2018-02-08,1.17,1.25,1.30,MSFT,93.96,2018-03-23,0.07671,91.50,1003,2424,2,45,3.55,3.60,3.65,0.97,0.99,1.03,0.19291,0.19838,0.20386,0.19832,0.19609,0.19937,0.20265,0.01380,0.00000,-0.008052,0.705889,0.067042,-0.035645,0.091262,0.048121,-0.050882,-0.031890,0.305441,5.2350,1.6865,NULL,2018-02-23,-2.35,2018-02-26,False,-1.33
2018-03-08,1.42,1.42,1.44,MSFT,94.86,2018-04-20,0.00000,97.50,269,27886,513,5393,0.01,0.00,0.01,2.51,2.64,2.66,2.42878,2.42878,2.42878,0.37057,0.00000,1.52130,3.04260,0.01650,0.00000,-9.380348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.144860,0.0006,1.6914,NULL,2018-04-20,1.42,NULL,NULL,0.09
