transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2017-10-19,0.18,0.21,0.21,XLF,27.55,2017-12-01,0.00000,25.50,9,306,5,5307,2.05,2.05,2.06,0.00,0.00,0.01,0.29988,0.14994,0.00000,1.81196,0.00000,0.00000,0.00000,0.01140,0.00000,0.011418,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.297180,2.3255,0.0000,NULL,2017-12-01,0.21,NULL,NULL,4.38
2017-11-01,0.31,0.36,0.32,XLF,27.80,2017-12-15,0.00000,26.00,350,427,1,58082,1.80,1.80,1.81,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.43803,0.00000,0.00000,0.00000,0.01240,0.00000,0.000000,1.000000,0.000000,-0.000883,0.000000,0.000001,-0.000001,0.000000,0.228788,2.0780,0.0000,NULL,2017-12-15,0.36,NULL,NULL,4.74
2017-11-10,0.22,0.26,0.25,XLF,27.99,2017-12-29,0.00000,25.00,421,552,40,2708,2.98,3.00,3.10,0.00,0.00,0.01,0.00000,0.00000,0.00000,1.01563,0.00000,0.00000,0.00000,0.01280,0.00000,-9.999999,1.000000,0.000000,-4.362577,0.000000,0.000001,-0.000001,-0.000011,0.251886,3.2760,0.0000,NULL,2017-12-29,0.26,NULL,NULL,5.00
2017-12-08,0.30,0.33,0.31,XLF,29.54,2018-01-19,0.00000,27.00,950,110037,8,66349,2.53,2.54,2.55,0.00,0.00,0.01,0.00000,0.00000,0.00000,1.09797,0.00000,0.00000,0.00000,0.01280,0.00000,0.004803,1.000000,0.000000,-0.000558,0.000000,0.000001,-0.000001,0.000000,0.157183,2.8354,0.0000,NULL,2018-01-19,0.33,NULL,NULL,5.33
2018-01-30,0.37,0.41,0.39,XLF,29.36,2018-03-16,0.11507,29.00,33639,70016,10607,15579,0.91,0.98,0.94,0.51,0.57,0.54,0.17338,0.17729,0.18120,0.19070,0.17382,0.17772,0.18162,0.01480,0.00000,-0.033252,0.598809,0.204417,-0.010952,0.038457,0.019102,-0.020156,-0.008767,0.181144,1.1250,0.4274,NULL,2018-02-02,-0.16,2018-02-05,False,5.45
2018-01-02,0.27,0.28,0.28,XLF,29.06,2018-02-16,0.00000,27.00,208,2174,25,36606,2.04,2.06,2.08,0.00,0.00,0.01,0.00000,0.00000,0.00000,1.66236,0.00000,0.00000,0.00000,0.01350,0.00000,0.004864,1.000000,0.000000,-0.000611,0.000000,0.000001,-0.000001,0.000000,0.336027,2.3456,0.0000,NULL,2018-02-16,0.28,NULL,NULL,5.61
2018-03-08,0.41,0.42,0.42,XLF,27.69,2018-04-20,0.07945,28.00,3720,2485,8438,18529,0.55,0.56,0.57,0.81,0.82,0.83,0.21385,0.21706,0.22027,0.21721,0.21428,0.21750,0.22073,0.01720,0.00000,-0.008098,0.452739,0.234643,-0.012458,0.031126,0.009516,-0.009961,-0.011628,0.205576,0.6583,0.6390,NULL,2018-03-22,-0.40,2018-03-23,False,5.53
2018-02-09,0.42,0.48,0.53,XLF,27.60,2018-03-29,0.00000,26.00,203,2428,104,34790,1.58,1.60,1.61,0.01,0.00,0.01,0.00000,0.00000,0.00000,0.43823,0.00000,0.00000,0.00000,0.01630,0.00000,0.000000,1.000000,0.000000,-0.001161,0.000000,0.000001,-0.000001,0.000000,0.379179,1.8760,0.0000,NULL,2018-03-29,0.48,NULL,NULL,5.93
2018-04-02,0.55,0.56,0.56,XLF,27.98,2018-05-18,0.00000,26.00,68,1671,3,18504,1.96,1.98,1.99,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.67687,0.00000,0.00000,0.00000,0.01680,0.00000,-7.580519,1.000000,0.000000,-0.541055,0.000000,0.000008,-0.000009,-0.000001,0.261175,2.2608,0.0000,NULL,2018-05-18,0.56,NULL,NULL,6.09
2018-05-15,0.27,0.29,0.30,XLF,27.82,2018-06-29,0.09589,27.00,54,3493,209,5092,1.05,1.07,1.07,0.27,0.30,0.28,0.17241,0.17577,0.17912,0.17932,0.16943,0.17110,0.17278,0.01900,0.00000,-0.010860,0.704207,0.224862,-0.009145,0.029867,0.017729,-0.018708,-0.007633,0.182507,1.2832,0.2333,NULL,2018-05-25,-0.01,2018-05-29,False,6.58
