transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2018-02-07,3.90,4.14,4.55,UVXY,20.04,2018-03-23,0.00000,15.00,1469,2904,175,3353,4.90,5.04,5.30,0.01,0.00,0.01,0.00000,0.00000,0.00000,0.43823,0.00000,0.00000,0.00000,0.01690,0.00000,-0.900217,1.000000,0.000000,-0.037690,0.000000,0.000001,-0.000001,0.000000,1.322690,5.2406,0.0000,NULL,2018-03-23,4.14,NULL,NULL,-28.86
2018-03-07,1.23,1.38,1.30,UVXY,15.61,2018-04-20,0.00000,14.00,1030,2605,757,5258,1.53,1.61,1.74,0.01,0.00,0.01,0.00000,0.00000,0.00000,0.43823,0.00000,0.00000,0.00000,0.01650,0.00000,0.005850,1.000000,0.000000,-0.000383,0.000000,0.000004,-0.000005,0.000000,2.982090,1.7661,0.0000,NULL,2018-04-20,1.38,NULL,NULL,-27.48
2018-04-03,2.14,2.16,2.25,UVXY,12.08,2018-05-18,0.01918,18.00,199,3838,140,545,0.04,0.00,0.06,5.90,5.93,6.05,1.56234,1.62251,1.68269,0.45598,0.00000,0.00000,0.00000,0.01680,0.00000,0.052930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.354190,0.0188,5.8256,NULL,2018-05-11,-3.77,2018-05-14,False,-31.25
2018-05-03,0.93,1.01,1.03,UVXY,10.09,2018-06-15,0.00548,13.00,177,5461,278,2491,0.02,0.00,0.03,2.89,2.92,2.99,1.86000,1.93194,2.00388,0.63987,0.00000,0.00000,0.00000,0.01820,0.00000,0.206298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.401720,0.0037,2.8231,NULL,2018-06-13,-1.91,2018-06-14,False,-33.16
2018-06-06,0.67,0.83,0.70,UVXY,9.55,2018-07-20,0.00000,9.00,4493,4779,4032,8142,0.55,0.55,0.56,0.01,0.00,0.01,0.00000,0.00000,0.00000,2.15720,0.00000,0.00000,0.00000,0.01860,0.00000,0.000430,1.000000,0.000008,-0.000452,0.000000,0.000003,-0.000003,-0.000004,1.883970,0.6455,0.0000,NULL,2018-07-20,0.83,NULL,NULL,-32.33
2018-06-29,1.38,1.68,1.39,UVXY,8.63,2018-08-17,0.00000,11.00,992,9923,322,9593,0.01,0.00,0.01,2.31,2.37,2.40,0.00000,0.00000,0.00000,0.17449,0.00000,0.00000,0.00000,0.01950,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.864470,0.0000,2.2837,NULL,2018-08-17,-0.69,NULL,NULL,-33.02
2018-08-07,0.41,0.63,0.43,UVXY,36.86,2018-09-21,0.00000,7.00,1938,3583,1392,5985,0.97,29.86,1.10,0.01,0.00,0.02,0.00000,0.00000,0.00000,0.43823,0.00000,0.00000,0.00000,0.02050,0.00000,0.000000,1.000000,0.000000,-0.000393,0.000000,0.000002,-0.000013,0.000000,2.693420,30.2261,0.0000,NULL,2018-09-21,0.63,NULL,NULL,-32.39
2018-09-07,0.68,0.91,0.69,UVXY,53.69,2018-10-19,0.00000,8.00,39,3938,3,3509,2.41,45.69,3.05,0.00,0.00,0.02,0.00000,0.00000,0.00000,3.77876,0.00000,0.00000,0.00000,0.02190,0.00000,-5.346820,1.000000,0.000000,-0.117649,0.000000,0.000003,-0.000018,0.000000,3.550230,46.2284,0.0000,NULL,2018-10-19,0.91,NULL,NULL,-31.48
2018-09-13,0.48,0.63,0.53,UVXY,66.33,2018-10-26,0.00000,7.00,30,37,1,640,6.15,59.33,6.75,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.43823,0.00000,0.00000,0.00000,0.02160,0.00000,0.000000,1.000000,0.000000,-0.000414,0.000000,0.000002,-0.000023,0.000000,1.082880,59.9933,0.0000,NULL,2018-10-26,0.63,NULL,NULL,-30.85
2018-11-09,4.55,4.15,4.70,UVXY,82.56,2018-12-21,0.00000,45.00,25,190,5,1347,36.60,37.60,38.75,0.00,0.00,0.02,0.00000,0.00000,0.00000,3.80673,0.00000,0.00000,0.00000,0.02410,0.00000,-9.999999,1.000000,0.000000,-4.931021,0.000000,0.000010,-0.000019,-0.000045,3.096260,37.6011,0.0000,NULL,2018-12-21,4.15,NULL,NULL,-26.70
2018-11-30,4.05,4.02,4.15,UVXY,56.89,2019-01-18,0.00000,45.00,1,7,3,2507,11.50,11.89,12.35,0.00,0.00,0.01,0.00000,0.00000,0.00000,2.02184,0.00000,0.00000,0.00000,0.02400,0.00000,0.063588,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.976270,11.8900,0.0000,NULL,2019-01-18,4.02,NULL,NULL,-22.68
2018-12-31,5.95,6.38,6.75,UVXY,52.00,2019-02-15,0.03836,70.00,275,1061,21,735,0.38,0.40,0.40,18.15,18.47,18.65,1.03679,1.04293,1.04908,1.04721,0.77231,0.96154,1.15076,0.02410,0.00000,0.066839,0.087139,0.014882,-0.059909,0.016275,0.001521,-0.001662,-0.060285,1.017850,0.3492,18.4174,NULL,2019-02-01,-12.09,2019-02-04,False,-34.77
